Time,Solar,Wind,Solar1,Wind1
14-07-2018 00:00:00,83.88,1904.31,84.42,1663.55
14-07-2018 00:01:00,83.88,1904.32,84.42,1660.16
14-07-2018 00:02:00,83.88,1901.66,84.42,1662.87
14-07-2018 00:03:00,83.89,1901.53,84.42,1662.05
14-07-2018 00:04:00,83.89,1904.33,84.42,1668.56
14-07-2018 00:05:00,83.89,1902.03,84.42,1674.69
14-07-2018 00:06:00,83.88,1892.17,84.42,1679.86
14-07-2018 00:07:00,83.88,1889.36,84.41,1677.5
14-07-2018 00:08:00,83.89,1892.62,84.41,1672.89
14-07-2018 00:09:00,83.88,1896.43,84.41,1688.87
14-07-2018 00:10:00,83.88,1889.02,84.42,1686.47
14-07-2018 00:11:00,83.89,1889.37,84.42,1699.5
14-07-2018 00:12:00,83.89,1881.15,84.42,1700.44
14-07-2018 00:13:00,83.9,1879.42,84.42,1701.52
14-07-2018 00:14:00,83.89,1890.61,84.43,1700.22
14-07-2018 00:15:00,83.89,1886.3,84.43,1706.19
14-07-2018 00:16:00,83.89,1888.18,84.43,1710.17
14-07-2018 00:17:00,83.89,1890.8,84.43,1709.89
14-07-2018 00:18:00,83.89,1899.09,84.43,1713.72
14-07-2018 00:19:00,83.88,1902.8,84.43,1721.45
14-07-2018 00:20:00,83.89,1892.24,84.43,1722.86
14-07-2018 00:21:00,83.89,1894.82,84.42,1717.15
14-07-2018 00:22:00,83.88,1894.26,84.42,1706.12
14-07-2018 00:23:00,83.89,1888.88,84.42,1708.01
14-07-2018 00:24:00,83.89,1889.34,84.42,1707.33
14-07-2018 00:25:00,83.89,1888.73,84.42,1703.4
14-07-2018 00:26:00,83.89,1892.99,84.42,1703.56
14-07-2018 00:27:00,83.89,1891.88,84.42,1694.56
14-07-2018 00:28:00,83.89,1895.2,84.42,1679.47
14-07-2018 00:29:00,83.89,1890.46,84.42,1678.08
14-07-2018 00:30:00,83.89,1890.7,84.42,1687.28
14-07-2018 00:31:00,83.89,1889.62,84.42,1690.6
14-07-2018 00:32:00,83.89,1887.43,84.42,1686.69
14-07-2018 00:33:00,83.9,1889.7,84.42,1687.36
14-07-2018 00:34:00,83.89,1888.29,84.43,1684.48
14-07-2018 00:35:00,83.88,1880.9,84.42,1683.36
14-07-2018 00:36:00,83.88,1873.51,84.42,1679.75
14-07-2018 00:37:00,83.88,1870.07,84.43,1684.13
14-07-2018 00:38:00,83.95,1870.14,84.42,1679.14
14-07-2018 00:39:00,83.88,1863.82,84.42,1683.48
14-07-2018 00:40:00,83.89,1863.25,84.42,1687.09
14-07-2018 00:41:00,83.89,1866.61,84.42,1737.12
14-07-2018 00:42:00,83.89,1869.76,84.42,1682.89
14-07-2018 00:43:00,83.89,1869.78,84.42,1686.0
14-07-2018 00:44:00,83.89,1864.72,84.42,1688.66
14-07-2018 00:45:00,83.89,1866.06,84.42,1693.87
14-07-2018 00:46:00,83.89,1860.09,84.41,1691.05
14-07-2018 00:47:00,83.89,1850.72,84.42,1692.08
14-07-2018 00:48:00,83.88,1854.34,84.41,1690.79
14-07-2018 00:49:00,83.88,1844.3,84.41,1692.89
14-07-2018 00:50:00,83.89,1840.89,84.42,1700.46
14-07-2018 00:51:00,83.88,1837.11,84.42,1705.4
14-07-2018 00:52:00,83.89,1836.2,84.43,1709.01
14-07-2018 00:53:00,83.88,1835.25,84.43,1710.68
14-07-2018 00:54:00,83.87,1829.37,84.42,1711.55
14-07-2018 00:55:00,83.89,1836.03,84.43,1716.79
14-07-2018 00:56:00,83.89,1830.37,84.43,1709.43
14-07-2018 00:57:00,83.89,1821.98,84.43,1708.8
14-07-2018 00:58:00,83.89,1823.54,84.43,1702.19
14-07-2018 00:59:00,83.89,1824.7,84.41,1702.72
14-07-2018 01:00:00,83.89,1822.64,84.43,1706.72
14-07-2018 01:01:00,83.89,1823.55,84.42,1712.43
14-07-2018 01:02:00,83.89,1813.1,84.42,1723.42
14-07-2018 01:03:00,83.89,1818.62,84.42,1726.64
14-07-2018 01:04:00,83.89,1817.98,84.42,1730.38
14-07-2018 01:05:00,83.89,1812.28,84.43,1731.6
14-07-2018 01:06:00,83.89,1815.47,84.43,1733.66
14-07-2018 01:07:00,83.89,1815.53,84.43,1736.03
14-07-2018 01:08:00,83.89,1813.89,84.42,1736.3
14-07-2018 01:09:00,83.89,1821.26,84.42,1747.05
14-07-2018 01:10:00,83.89,1821.0,84.42,1765.18
14-07-2018 01:11:00,83.82,1819.12,84.42,1775.32
14-07-2018 01:12:00,83.81,1816.21,84.42,1771.97
14-07-2018 01:13:00,83.81,1823.76,84.42,1766.62
14-07-2018 01:14:00,83.81,1832.83,84.42,1825.01
14-07-2018 01:15:00,83.8,1839.61,84.42,1775.13
14-07-2018 01:16:00,83.8,1839.55,84.42,1776.82
14-07-2018 01:17:00,83.81,1834.86,84.42,1776.51
14-07-2018 01:18:00,83.81,1842.3,84.42,1754.85
14-07-2018 01:19:00,83.8,1840.9,84.42,1752.51
14-07-2018 01:20:00,83.81,1843.46,84.42,1759.94
14-07-2018 01:21:00,83.81,1847.14,84.42,1758.05
14-07-2018 01:22:00,83.81,1846.37,84.42,1763.13
14-07-2018 01:23:00,83.81,1847.05,84.42,1758.24
14-07-2018 01:24:00,83.81,1845.91,84.42,1758.57
14-07-2018 01:25:00,83.8,1848.05,84.42,1762.99
14-07-2018 01:26:00,83.81,1850.53,84.41,1768.7
14-07-2018 01:27:00,83.81,1844.68,84.42,1783.1
14-07-2018 01:28:00,83.82,1849.12,84.42,1786.18
14-07-2018 01:29:00,83.82,1852.41,84.42,1792.3
14-07-2018 01:30:00,83.81,1852.51,84.43,1801.15
14-07-2018 01:31:00,83.81,1856.25,84.42,1805.58
14-07-2018 01:32:00,83.81,1858.76,84.42,1804.02
14-07-2018 01:33:00,83.81,1871.79,84.42,1810.67
